Configuration,Accuracy (mean),Accuracy (±std),Macro F1 (mean),Macro F1 (±std)
"1. Baseline (TF-IDF, unigram, no extras)",0.6932,0.0051,0.6930,0.0056
2. + Stopword removal,0.6898,0.0060,0.6890,0.0062
3. + Stemming (+ stopwords),0.6940,0.0040,0.6931,0.0036
4. + Lemmatization (+ stopwords),0.6910,0.0053,0.6904,0.0053
5. + Contraction expansion only,0.6932,0.0051,0.6930,0.0056
6. + Negation handling (+ contractions),0.6913,0.0057,0.6920,0.0057
7. CountVectorizer (baseline pre),0.6912,0.0063,0.6923,0.0066
"8. Bigrams (TF-IDF, baseline pre)",0.6918,0.0028,0.6920,0.0029
9. Best combo (contractions + negation + SW + lemma + bigrams),0.6901,0.0048,0.6907,0.0050
